,id,Label,wstrato,Longitude,Latitude,pop,income_level
0,1.0,1.0,3.0,-74.1205,4.61808,17197.0,2.0
1,2.0,2.0,1.8601324718598893,-74.1327,4.56084,24609.0,1.0
2,3.0,3.0,2.11667488899852,-74.1358,4.58827,8108.0,1.0
3,4.0,4.0,2.9541446208112867,-74.1404,4.59492,10206.0,2.0
4,5.0,5.0,1.0000000000000016,-74.1592,4.55002,37483.0,1.0
5,6.0,6.0,3.0,-74.126,4.59133,16367.0,2.0
6,7.0,7.0,1.6677845856175448,-74.1091,4.5448900000000005,31010.0,1.0
7,8.0,8.0,1.006488766323303,-74.1501,4.54592,61645.0,1.0
8,9.0,9.0,2.0,-74.0949,4.55883,29823.0,1.0
9,10.0,10.0,2.525197177251973,-74.1284,4.62511,12045.0,2.0
10,11.0,11.0,2.934593972568655,-74.1076,4.57728,32153.0,2.0
11,12.0,12.0,1.8456757976599647,-74.0851,4.55439,28803.0,1.0
12,13.0,13.0,1.9634269130537776,-74.0994,4.55389,33768.0,1.0
13,14.0,14.0,1.3521241386793987,-74.1179,4.54036,18431.0,1.0
14,15.0,15.0,2.9999999999999987,-74.1279,4.6026099999999985,24060.0,2.0
15,16.0,16.0,3.0,-74.1194,4.58194,19734.0,2.0
16,17.0,17.0,2.0000000000000013,-74.0909,4.55166,38529.0,1.0
17,18.0,18.0,2.486677566170297,-74.1425,4.57981,22631.0,1.0
18,19.0,19.0,1.7347126739252008,-74.1371,4.55006,30401.0,1.0
19,20.0,20.0,1.4109875572082375,-74.1517,4.56254,55936.0,1.0
20,21.0,21.0,1.772135922330098,-74.0711,4.57967,20600.0,1.0
21,22.0,22.0,3.0,-74.1463,4.59585,10350.0,2.0
22,23.0,23.0,2.974024853296513,-74.1293,4.61271,23176.0,2.0
23,24.0,24.0,1.9906500934990647,-74.1172,4.5527,27273.0,1.0
24,25.0,25.0,1.041903692162761,-74.1629,4.5770300000000015,55198.0,1.0
25,26.0,26.0,2.3888157172648463,-74.1347,4.6036199999999985,18222.0,1.0
26,27.0,27.0,3.0000000000000004,-74.1272,4.57759,22445.0,2.0
27,28.0,28.0,2.0622370266479666,-74.1167,4.56766,51336.0,1.0
28,29.0,29.0,1.8600222481195043,-74.1226,4.52503,37756.0,1.0
29,30.0,30.0,2.9999999999999982,-74.1191,4.60149,25476.0,2.0
30,31.0,31.0,1.989405948363808,-74.1444,4.56637,63715.0,1.0
31,32.0,32.0,1.6812942697427131,-74.157,4.57788,54919.0,1.0
32,33.0,33.0,2.5365107558713254,-74.1244,4.57,30402.0,2.0
33,34.0,34.0,2.1929831760361096,-74.086,4.56851,24370.0,1.0
34,35.0,35.0,2.208480035957749,-74.0946,4.56429,26698.0,1.0
35,36.0,36.0,1.0366327383586589,-74.1405,4.53917,40674.0,1.0
36,37.0,37.0,1.973599802615348,-74.1088,4.55517,40530.0,1.0
37,38.0,38.0,2.496233672569917,-74.1533,4.5908,24958.0,1.0
38,39.0,39.0,3.0,-74.1144,4.58973,14021.0,2.0
39,40.0,40.0,2.6174311926605505,-74.1323,4.5805099999999985,32700.0,2.0
40,41.0,41.0,1.9610432350158389,-74.123,4.55687,24309.0,1.0
41,42.0,42.0,2.0243138990767666,-74.1645,4.5887,31628.0,1.0
42,43.0,43.0,3.2382984225497795,-74.1279,4.63399,7734.0,2.0
43,44.0,44.0,3.0000000000000013,-74.0999,4.57665,14022.0,2.0
44,45.0,45.0,2.656496333189533,-74.1142,4.57832,25499.0,2.0
45,46.0,46.0,2.9627579663161216,-74.1266,4.58513,12647.0,2.0
46,47.0,47.0,1.8035708488881683,-74.0799,4.57092,30805.0,1.0
47,48.0,48.0,2.9201308876394134,-74.1279,4.61835,21698.0,2.0
48,49.0,49.0,3.0,-74.1217,4.59614,17175.0,2.0
49,50.0,50.0,1.9985026601675755,-74.1079,4.54766,31389.0,1.0
50,51.0,51.0,2.000000000000001,-74.1359,4.5667,17806.0,1.0
51,52.0,52.0,1.3740188936410205,-74.1354,4.55452,21277.0,1.0
52,53.0,53.0,2.3709462974738424,-74.15899999999998,4.58594,17299.0,1.0
53,54.0,54.0,2.022129108288595,-74.089,4.563269999999998,22911.0,1.0
54,55.0,55.0,1.514476233899464,-74.1155,4.53385,17546.0,1.0
55,56.0,56.0,1.1442480891874798,-74.1139,4.53891,20541.0,1.0
56,57.0,57.0,2.7959236493044304,-74.1392,4.59098,15455.0,2.0
57,58.0,58.0,2.864006052581804,-74.1236,4.62513,5287.0,2.0
58,59.0,59.0,3.0000000000000013,-74.112,4.59391,12266.0,2.0
59,61.0,61.0,3.0000000000000018,-74.1084,4.5987,21183.0,2.0
60,62.0,62.0,3.0,-74.1192,4.63203,3251.0,2.0
61,63.0,63.0,3.0,-74.1091,4.62619,5609.0,2.0
62,64.0,64.0,3.0000000000000004,-74.1047,4.58789,19362.0,2.0
63,65.0,65.0,3.0000000000000004,-74.098,4.5835,9822.0,2.0
64,66.0,66.0,4.0,-74.1222,4.64194,4659.0,3.0
65,67.0,67.0,2.5642870433542155,-74.083,4.57522,16123.0,2.0
66,68.0,68.0,2.5893374741200827,-74.0904,4.58934,9660.0,2.0
67,69.0,69.0,3.0,-74.1093,4.63397,4192.0,2.0
68,70.0,70.0,2.0765501740778283,-74.082,4.58608,22691.0,1.0
69,71.0,71.0,3.0000000000000004,-74.115,4.61269,23150.0,2.0
70,72.0,72.0,3.0000000000000004,-74.0922,4.58047,21745.0,2.0
71,73.0,73.0,3.0000000000000013,-74.1159,4.61945,23514.0,2.0
72,74.0,74.0,3.0000000000000013,-74.1001,4.58748,15408.0,2.0
73,75.0,75.0,2.9999999999999987,-74.1089,4.60808,22328.0,2.0
74,76.0,76.0,2.728803510020158,-74.0852,4.58664,8433.0,2.0
75,77.0,77.0,3.0,-74.0942,4.58933,11507.0,2.0
76,78.0,78.0,3.0,-74.1157,4.63923,356.0,2.0
77,80.0,80.0,3.0,-74.1153,4.62904,2756.0,2.0
78,81.0,81.0,5.9935897435897445,-74.0412,4.79165,312.0,4.0
79,83.0,83.0,5.9976580796252925,-74.0378,4.81472,854.0,4.0
80,87.0,87.0,2.3693435309114093,-74.0405,4.7729,3138.0,1.0
81,88.0,88.0,3.7418676698384603,-74.035,4.7422,9038.0,3.0
82,89.0,89.0,3.411694290976059,-74.0478,4.75975,10860.0,2.0
83,90.0,90.0,3.401882799386996,-74.0593,4.74266,13703.0,2.0
84,91.0,91.0,2.974019401096583,-74.0307,4.75889,23710.0,2.0
85,92.0,92.0,3.3446197043521364,-74.0536,4.750780000000002,12109.0,2.0
86,93.0,93.0,2.831294659077147,-74.0254,4.7405300000000015,8257.0,2.0
87,94.0,94.0,3.426437640029873,-74.051,4.76578,12051.0,2.0
88,95.0,95.0,3.2085694050991505,-74.041,4.745419999999998,8472.0,2.0
89,96.0,96.0,4.147442051844741,-74.0651,4.75595,7291.0,3.0
90,97.0,97.0,3.5591397849462365,-74.0309,4.74611,7161.0,3.0
91,98.0,98.0,2.2816601631784317,-74.0739,4.739330000000002,2819.0,1.0
92,99.0,99.0,3.9369481666147297,-74.0459,4.76269,9627.0,3.0
93,100.0,100.0,3.0,-74.0449,4.74831,1857.0,2.0
94,101.0,101.0,3.0000000000000013,-74.0288,4.73803,13268.0,2.0
95,102.0,102.0,3.8277356446370536,-74.0463,4.73931,6461.0,3.0
96,103.0,103.0,2.8927939971538232,-74.039,4.75738,23189.0,2.0
97,104.0,104.0,3.072882736156352,-74.0598,4.75017,12280.0,2.0
98,105.0,105.0,3.6018163471241165,-74.0326,4.73855,9910.0,3.0
99,106.0,106.0,1.90990643918547,-74.0274,4.76475,18170.0,1.0
100,107.0,107.0,4.819837086727358,-74.0677,4.76224,2087.0,4.0
101,108.0,108.0,3.57895789578958,-74.0401,4.74034,9999.0,3.0
102,109.0,109.0,3.704901465386559,-74.0656,4.74981,13853.0,3.0
103,110.0,110.0,3.1784010684983777,-74.0449,4.7584800000000005,5241.0,2.0
104,111.0,111.0,3.891464104013567,-74.0651,4.741630000000002,14152.0,3.0
105,112.0,112.0,1.9623497045037697,-74.0244,4.73307,19628.0,1.0
106,113.0,113.0,3.0,-74.0538,4.74811,10827.0,2.0
107,114.0,114.0,3.940865026099925,-74.0471,4.76616,13410.0,3.0
108,115.0,115.0,3.2135989010989015,-74.031,4.76805,14560.0,2.0
109,116.0,116.0,2.571490499241384,-74.0283,4.76328,13841.0,2.0
110,117.0,117.0,3.0432734530938124,-74.0801,4.7365900000000005,12525.0,2.0
111,118.0,118.0,1.892814061692228,-74.0227,4.74779,5803.0,1.0
